Tau;Avg;Lower Bound;Higher Bound
0;0;0;0
0.016612665684830635;0.036146179401993356;0.035083056478405344;0.03774086378737543
0.03334315169366717;0.07282392026578074;0.07069767441860467;0.07468438538205982
0.049955817378497795;0.11269102990033224;0.1089700996677741;0.11641196013289037
0.06656848306332844;0.1512292358803987;0.14405315614617942;0.15840531561461796
