DCPERP_close,,DRPERP_CLOSE,
X,Y,X,Y
2.511056511056511,0.9411042944785277,2.511056511056511,0.9337423312883436
3.002457002457003,0.9828220858895707,3.002457002457003,0.9435582822085891
3.493857493857494,0.9104294478527608,3.5135135135135123,0.9337423312883436
4.004914004914005,0.9386503067484664,4.004914004914005,0.9288343558282209
4.496314496314497,0.9202453987730062,4.496314496314497,0.9411042944785277
4.987714987714989,0.8858895705521473,5.007371007371006,0.9177914110429448
5.498771498771498,0.9128834355828221,5.498771498771498,0.9300613496932516
6.009828009828009,0.9570552147239264,6.009828009828009,0.9018404907975461
6.501228501228502,0.9300613496932516,6.501228501228502,0.9521472392638037
6.992628992628992,0.9496932515337424,7.012285012285011,0.9521472392638037
7.503685503685505,0.9312883435582823,7.503685503685505,0.9447852760736197
7.995085995085995,0.9411042944785277,8.014742014742014,0.9349693251533743
8.506142506142504,0.9472392638036811,8.506142506142504,0.9398773006134971
8.997542997542999,0.89079754601227,9.017199017199017,0.9153374233128835
9.508599508599508,0.9288343558282209,9.508599508599508,0.8797546012269939
