DCPAR_close,,DRPAR_close,
X,Y,X,Y
2.4918032786885242,1.1804878048780487,2.4918032786885242,0.7329268292682927
3.0032786885245897,1.0426829268292683,2.983606557377049,0.7292682926829268
3.4950819672131144,1.0146341463414634,3.4950819672131144,0.7731707317073171
4.00655737704918,1.0060975609756098,3.986885245901639,0.8060975609756098
4.498360655737704,0.975609756097561,4.498360655737704,0.8475609756097562
5.00983606557377,0.9670731707317073,4.99016393442623,0.8390243902439025
5.521311475409837,0.9414634146341463,5.501639344262296,0.9085365853658536
5.99344262295082,0.925609756097561,6.0131147540983605,0.876829268292683
6.504918032786884,0.9597560975609756,6.504918032786884,0.8463414634146342
6.99672131147541,0.9207317073170732,6.99672131147541,0.8902439024390244
7.508196721311474,0.9512195121951219,7.508196721311474,0.8634146341463415
8,0.8792682926829268,8,0.9329268292682926
8.511475409836066,0.948780487804878,8.511475409836066,0.8780487804878049
9.00327868852459,0.947560975609756,9.00327868852459,0.8963414634146342
9.495081967213114,0.9317073170731707,9.495081967213114,0.9097560975609756
