DCPAR_Far,,DRPAR_far,
X,Y,X,Y
2.4918032786885242,1.388196721311475,2.4918032786885242,0.7999999999999998
3.0032786885245897,1.4275409836065571,3.0032786885245897,0.8157377049180325
3.4950819672131144,1.3331147540983603,3.4950819672131144,0.8727868852459015
3.986885245901639,1.2859016393442622,4.00655737704918,0.8924590163934425
4.518032786885247,1.2170491803278685,4.498360655737704,0.8865573770491801
5.00983606557377,1.3154098360655735,5.00983606557377,0.9199999999999999
5.501639344262296,1.2308196721311473,5.501639344262296,0.9180327868852458
5.99344262295082,1.2190163934426226,6.0131147540983605,0.961311475409836
6.504918032786884,1.24655737704918,6.504918032786884,0.9318032786885244
6.99672131147541,1.1875409836065571,6.99672131147541,0.9534426229508195
7.508196721311474,1.2367213114754094,7.508196721311474,0.9927868852459014
8,1.1875409836065571,8,1.0360655737704916
8.511475409836066,1.2327868852459014,8.511475409836066,1.0577049180327869
8.98360655737705,1.287868852459016,9.00327868852459,1.0203278688524589
9.495081967213114,1.2013114754098357,9.495081967213114,1.0301639344262292
