del_rho;Avg;Lowerbound;Higherbound
-1.1147011308562202;1.9230769230769624;0;4.487179487179503
-1.0048465266558968;3.205128205128176;0;7.051282051282101
-0.9079159935379648;3.846153846153868;1.9230769230769624;7.051282051282101
-0.8045234248788371;8.333333333333314;7.051282051282101;11.538461538461547
-0.7075928917609051;14.102564102564088;12.820512820512874;17.948717948718013
-0.6042003231017774;50;42.948717948717956;57.051282051282044
-0.5008077544426492;87.82051282051282;78.20512820512823;96.79487179487177
-0.4038772213247177;164.74358974358972;151.28205128205127;176.9230769230769
-0.30048465266558955;248.7179487179487;233.33333333333331;264.7435897435897
-0.203554119547658;317.30769230769226;299.35897435897436;334.6153846153846
-0.10016155088853029;348.71794871794873;329.48717948717945;367.30769230769226
0.003231017770596978;366.66666666666663;348.0769230769231;385.8974358974359
0.10662358642972514;330.7692307692308;312.8205128205128;348.71794871794873
0.20355411954765668;284.61538461538464;267.30769230769226;300.64102564102564
0.30694668820678483;153.20512820512823;141.02564102564105;166.66666666666669
0.4038772213247164;98.0769230769231;87.82051282051282;107.69230769230768
0.5008077544426488;46.794871794871824;39.74358974358972;53.84615384615387
0.604200323101777;23.076923076923094;17.948717948718013;28.205128205128233
0.7075928917609042;10.256410256410277;7.051282051282101;14.102564102564088
0.8045234248788367;3.846153846153868;0;6.410256410256466
0.9079159935379639;0.641025641025692;0;2.5641025641025976
1.0048465266558964;0;-0.6410256410256352;8.333333333333314
1.1082390953150236;0;-1.9230769230768487;3.846153846153868
