DCPERP_far,,DRPERP_FAR,
X,Y,X,Y
2.4914004914004906,1.2190163934426226,2.4914004914004906,0.884590163934426
3.002457002457003,1.1934426229508195,3.002457002457003,0.9711475409836063
3.493857493857494,1.1757377049180326,3.5135135135135123,1.0478688524590163
4.004914004914005,1.0813114754098359,4.004914004914005,0.9927868852459014
4.496314496314497,1.1934426229508195,4.515970515970514,0.961311475409836
5.007371007371006,1.1580327868852458,5.007371007371006,0.9652459016393442
5.498771498771498,1.124590163934426,5.518427518427517,1.000655737704918
6.009828009828009,1.1285245901639342,6.009828009828009,1.0203278688524589
6.501228501228502,1.1285245901639342,6.501228501228502,1.0498360655737702
7.012285012285011,1.1265573770491801,6.992628992628992,1.08327868852459
7.503685503685505,1.1777049180327865,7.503685503685505,1.063606557377049
8.014742014742014,1.2170491803278685,7.995085995085995,1.061639344262295
8.506142506142504,1.1954098360655736,8.506142506142504,1.1009836065573768
8.997542997542999,1.102950819672131,8.997542997542999,1.124590163934426
9.508599508599508,1.163934426229508,9.508599508599508,1.0714754098360653
