epsilon,mu11,mu12,mu22,Dq_dimensionless,correction_x,correction_y,relative_residual
0.0001,1.0,0.7142857,1.0,0.006949483776387488,0.9921167903622035,0.004022045572764153,2.6408973217683058e-12
0.00011497569953977356,1.0,0.7142857,1.0,0.007988822122352746,0.992108653586526,0.004026196988761202,2.513185312206877e-12
0.00013219411484660288,1.0,0.7142857,1.0,0.009183338159093557,0.9920993019552025,0.004030968229041816,2.4349104457630723e-12
0.0001519911082952933,1.0,0.7142857,1.0,0.010556108381362783,0.9920885548068928,0.004036451467754011,2.559179526825981e-12
0.0001747528400007683,1.0,0.7142857,1.0,0.012133607014412018,0.9920762048800769,0.004042752450573591,2.8411947054895036e-12
0.00020092330025650479,1.0,0.7142857,1.0,0.013946193613412206,0.9920620144957768,0.0040499924422734476,2.72268716579164e-12
0.00023101297000831605,1.0,0.7142857,1.0,0.016028664184789543,0.992045711242886,0.004058310428111407,2.9242912798530462e-12
0.00026560877829466864,1.0,0.7142857,1.0,0.01842087565546402,0.992026983089375,0.0040678656080866534,2.9922408297217948e-12
0.0003053855508833416,1.0,0.7142857,1.0,0.021168443654019153,0.9920054729194222,0.004078840184155943,3.0754027390841643e-12
0.0003511191734215131,1.0,0.7142857,1.0,0.02432352305740193,0.9919807724227712,0.004091442477857442,3.6256045676743197e-12
0.0004037017258596554,1.0,0.7142857,1.0,0.027945672431495927,0.991952415327085,0.0041059103832448195,3.594077629736063e-12
0.0004641588833612782,1.0,0.7142857,1.0,0.032102799893432676,0.9919198699930859,0.004122515144823553,3.722616406468941e-12
0.0005336699231206312,1.0,0.7142857,1.0,0.036872181708628826,0.9918825314400621,0.004141565426217082,4.1143102947233335e-12
0.0006135907273413176,1.0,0.7142857,1.0,0.04234153914354244,0.9918397129154535,0.004163411611371997,4.803338311462173e-12
0.0007054802310718645,1.0,0.7142857,1.0,0.0486101384075015,0.9917906372836283,0.004188450198036499,4.637121072262893e-12
0.0008111308307896872,1.0,0.7142857,1.0,0.055789863150057295,0.991734428629483,0.004217128081652106,5.032202976022149e-12
0.0009326033468832199,1.0,0.7142857,1.0,0.06400617393091945,0.9916701047469352,0.004249946387758097,5.269341388444899e-12
0.0010722672220103231,1.0,0.7142857,1.0,0.07339883380678325,0.9915965714584599,0.0042874633701802,5.618310732965609e-12
0.0012328467394420659,1.0,0.7142857,1.0,0.08412221245769635,0.9915126202341946,0.004330295625748718,5.4814892964893464e-12
0.0014174741629268048,1.0,0.7142857,1.0,0.09634492344450463,0.9914169310317229,0.004379116645456639,6.2398485222149845e-12
0.0016297508346206436,1.0,0.7142857,1.0,0.11024844540683687,0.9913080830904064,0.004434651307166478,6.689422708721575e-12
0.001873817422860383,1.0,0.7142857,1.0,0.12602429163793083,0.9911845770902853,0.004497664570020847,6.6719970120296745e-12
0.0021544346900318843,1.0,0.7142857,1.0,0.14386919054480818,0.9910448728833697,0.004568942223754248,6.404846787305461e-12
0.0024770763559917113,1.0,0.7142857,1.0,0.16397768266496437,0.9908874474499642,0.004649261319228006,6.768288512099553e-12
0.002848035868435802,1.0,0.7142857,1.0,0.18653155356471673,0.9907108776266291,0.004739347960190358,6.821870775491385e-12
0.0032745491628777285,1.0,0.7142857,1.0,0.21168570621899674,0.9905139507084904,0.004839820873555429,6.397225478025341e-12
0.0037649358067924675,1.0,0.7142857,1.0,0.23955047131803875,0.9902958029380547,0.004951120752001965,7.2475879986436745e-12
0.004328761281083062,1.0,0.7142857,1.0,0.27017107217978453,0.9900560802710235,0.005073428230285402,7.897297748859e-12
0.004977023564332114,1.0,0.7142857,1.0,0.30350597686634573,0.989795107852706,0.005206577417983382,7.2658065490673415e-12
0.00572236765935022,1.0,0.7142857,1.0,0.3394070477638731,0.9895140454234347,0.005349976610837043,6.120295592629042e-12
0.006579332246575682,1.0,0.7142857,1.0,0.3776054365906427,0.9892149977434471,0.00550255195168906,6.791866940065363e-12
0.007564633275546291,1.0,0.7142857,1.0,0.41770753293719354,0.9889010463115012,0.005662731247256218,6.779854016573009e-12
0.008697490026177835,1.0,0.7142857,1.0,0.4592045028031344,0.9885761746887137,0.005828482068617605,6.7551155156548356e-12
0.01,1.0,0.7142857,1.0,0.5014967737918072,0.9882450768097989,0.00599740955110137,6.6216470070045e-12
0.011497569953977356,1.0,0.7142857,1.0,0.5439316465845507,0.9879128625293065,0.006166906626240896,6.751139660454218e-12
